,a,alpha,mu,sigma,spread,t_c
0,-0.017383741867695344,0.025598915252649464,0.0021009379965686967,0.013528131074198597,"('CL1', 'CL2')",0.00094
1,-0.01719003484407672,0.02457915673727454,0.005096318618272795,0.01303203794398685,"('CL1', 'CL3')",0.00094
2,-0.01719762163735901,0.020824988488350998,0.008457641601045899,0.012003538560749762,"('CL1', 'CL4')",0.00094
3,-0.01714736162434933,0.018782524238912607,0.01203105180739116,0.011349184531611017,"('CL1', 'CL5')",0.00094
4,-0.010217953783590085,0.06079275244304121,0.08758773279648885,0.017120887932170224,"('CO1', 'CL1')",0.000289
5,-0.01022578291231685,0.06273277609940413,0.08448325514893654,0.01741399665343943,"('CO2', 'CL1')",0.000289
6,-0.010321486778962535,0.06726888476900919,0.0814354511272539,0.018287427790481117,"('CO3', 'CL1')",0.000289
7,-0.010432550856297665,0.06812875384596767,0.07889195386870655,0.01870047253596469,"('CO4', 'CL1')",0.000289
8,-0.010540967850576191,0.06553276371438961,0.07654087624611575,0.018624347612484562,"('CO5', 'CL1')",0.000289
9,-0.017384781929312046,0.4844066115113651,1.1832093783234843,0.03494093507512754,"('HO1', 'CL1')",0.002482
10,-0.01739354584492812,0.49211341031525535,1.182874587209155,0.035245488822799015,"('HO2', 'CL1')",0.002482
11,-0.017412893964334042,0.5025475873155071,1.1818151894690971,0.035679001921679034,"('HO3', 'CL1')",0.002482
12,-0.017435342812536638,0.5146978111879057,1.1803025555035613,0.03618037062691162,"('HO4', 'CL1')",0.002482
13,-0.01745569875603618,0.5309462266346806,1.178655645861199,0.03681395903368599,"('HO5', 'CL1')",0.002482
14,-0.018191437384666817,0.46896016601528495,1.1414027881043798,0.03689739757322763,"('XB1', 'CL1')",0.002482
15,-0.01778928782631248,0.572033300417159,1.1331406432763194,0.039356405472139214,"('XB2', 'CL1')",0.002482
16,-0.01775390505918311,0.576226240359043,1.1257510301219071,0.03937800457630535,"('XB3', 'CL1')",0.002482
17,-0.017556924835305722,0.4828890508356078,1.1226155195314145,0.035426410844756645,"('XB4', 'CL1')",0.002482
18,-0.017732568477904012,0.40729566604171846,1.121320360943423,0.033044418588686564,"('XB5', 'CL1')",0.002482
19,-0.016881628284751257,0.6419438001144595,2.2788462439090322,0.03842095321120602,"('QS1', 'CL1')",0.002482
20,-0.016877214654288198,0.6488174459310058,2.2772353360341544,0.03861033014416092,"('QS2', 'CL1')",0.002482
21,-0.016876265419677915,0.6578568517167462,2.2747490321955612,0.03887494621043203,"('QS3', 'CL1')",0.002482
22,-0.01689464815041946,0.6648117714702843,2.271310173587341,0.03914641063461786,"('QS4', 'CL1')",0.002482
23,-0.01691207106656234,0.6680577715307499,2.268214393492691,0.03930508818331058,"('QS5', 'CL1')",0.002482
24,-0.01701906548091355,0.028275403901340722,0.002849344623730525,0.01376665867377545,"('CL2', 'CL3')",0.00094
25,-0.01703792805221865,0.02097188759132883,0.006065807855371186,0.011876099641317327,"('CL2', 'CL4')",0.00094
26,-0.01699040274370194,0.01813098715298049,0.009577088928729719,0.01099562027714448,"('CL2', 'CL5')",0.00094
27,-0.009968175007230521,0.0590023412247272,0.08912691966846553,0.016237557410401997,"('CO1', 'CL2')",0.000289
28,-0.009946816235116767,0.05861304759812609,0.08620098874186373,0.01613302115250603,"('CO2', 'CL2')",0.000289
29,-0.010070943064384974,0.06298944618205816,0.08309321330458752,0.01704495704754188,"('CO3', 'CL2')",0.000289
30,-0.010220814285464057,0.06459285473792345,0.08048201305769656,0.017638625825043924,"('CO4', 'CL2')",0.000289
31,-0.010355589550318057,0.06312430711889432,0.0780795375450053,0.01780053281739345,"('CO5', 'CL2')",0.000289
32,-0.017225014287602352,0.5114541208145477,1.1837444784183122,0.03538968470796275,"('HO1', 'CL2')",0.002482
33,-0.017235129247359586,0.5191585088497636,1.1834208671906594,0.0356879174771779,"('HO2', 'CL2')",0.002482
34,-0.017255609146847543,0.5297206927235392,1.182374590374035,0.03611598947985461,"('HO3', 'CL2')",0.002482
35,-0.017279242764560807,0.5420697589575247,1.180875788600063,0.036612651927139576,"('HO4', 'CL2')",0.002482
36,-0.017301027836703564,0.5584998534043503,1.179246769397245,0.03723650613696199,"('HO5', 'CL2')",0.002482
37,-0.01806598333727456,0.49169494498541283,1.1419983230329218,0.03737623469084122,"('XB1', 'CL2')",0.002482
38,-0.017636799287585117,0.6006289769844931,1.1337970763589502,0.039790573184076194,"('XB2', 'CL2')",0.002482
39,-0.017578581870497944,0.6108215956160566,1.126360653700319,0.03992045312571892,"('XB3', 'CL2')",0.002482
40,-0.017387342626476652,0.5122506036288369,1.1231672400999,0.0359393753740802,"('XB4', 'CL2')",0.002482
41,-0.017581471414361532,0.4317908135365282,1.121812941238012,0.033572700203979976,"('XB5', 'CL2')",0.002482
42,-0.016824026193604714,0.6492694559595131,2.279650429225029,0.038433803915214594,"('QS1', 'CL2')",0.002482
